k,cost,avg_dissim_per_feature
2,5103.0,0.04952445652173913
3,3923.0,0.03807259316770186
4,3241.0,0.03145380434782609
5,2805.0,0.027222437888198756
6,2123.0,0.02060364906832298
7,2410.0,0.023388975155279504
8,1601.0,0.015537655279503106
9,1694.0,0.016440217391304347
10,1310.0,0.012713509316770186
